Address,Cost_Electric,GSF,Reading_Total_Electric,building_id,latitude,longitude
Osborn Chase S. Reserve Complex - 4431,661.1600000000001,5922.0,356.0,4431,46.4838576,-84.2829482
Oxford Commerce Park OR Mock Up - 5353,990.54,6192.0,5102.129999999999,5353,42.2275661,-83.7429877
Oxford Houses Complex (Buildings #40-47) - 0040,104473.08,120842.0,884608.0,0040,42.274901,-83.72570449999999
Oxford Warehouse (aka Ellsworth Laundry Depot) - 5332,13649.81,19952.0,70146.6,5332,42.2273931,-83.7439018
PRV RED BUILDING - 5602,3957.64,7200.0,44113.0,5602,43.0259378,-102.5243131
Palmer Commons - 5047,176833.185,106471.0,1537680.0,5047,42.2806885,-83.73387939999999
Palmer Field Temp Rec Facility - 5510,64651.38999999999,23854.0,562186.0,5510,42.2807741,-83.73282019999999
Parking Services Bldg - 2506,53713.51,48588.0,467074.00000000006,2506,42.2985812,-83.69787819999999
Performance Center - 5399,299109.66,300944.0,2448012.0,5399,42.251807,-83.74185949999999
"Perry Building (aka Perry, ISR-Perry) - 0890",170266.06,117904.0,1101929.62,0890,42.2744606,-83.7452996
Pharmacy - 0230,193714.48,56772.0,1684474.0,0230,42.277565,-83.73541670000002
Phoenix Memorial Laboratory (aka Phoenix) - 0404,344292.26499999996,46653.0,2993845.6199999996,0404,42.2910896,-83.7142918
Physical Properties Building - 0807,6119.47,7183.0,53213.0,0807,42.26720299999999,-83.7460942
Pierpont Commons (aka PIER) - 0442,210323.64,90488.0,1828900.9999999998,0442,42.2911258,-83.7174637
Plant Service Building - 0261,21884.269999999997,15183.0,190298.0,0261,42.2805252,-83.7351673
Portage Lk Observatory Complex - 3425,5283.9400000000005,3364.0,25620.149999999998,3425,42.3922918,-83.9360651
Postma Family Clubhouse - 5385,58394.259999999995,25268.0,348149.67,5385,42.25916429999999,-83.7451466
Power Center - 0180,79278.92000000001,73088.0,689382.0,0180,42.2807444,-83.7360898
Presidents Residence (aka President's House) - 0203,18252.239999999998,14705.0,158715.0,0203,42.2753807,-83.7384888
REC SPORTS ADV LEADERSHIP RENTAL CTR OFFICES TRLR - 5569,19301.550000000003,450.0,113463.89,5569,42.273593,-83.746004
RP HOUSING MATT BOT GNDS HOUSE - 0976,3316.0899999999997,3650.0,17226.56,0976,42.3062453,-83.66248829999999
Rackham - 0172,94111.29999999999,157957.0,818359.0,0172,42.2806637,-83.738286
Rackham Educational Memorial - 1501,58374.56,71847.0,410655.0,1501,42.3582598,-83.06313120000002
Radio Broadcasting Station Complex - 3414,49887.770000000004,3780.0,413026.30999999994,3414,42.40468000000001,-83.916838
Radrick Farms Caretakers House - 0955,14725.84,8572.0,77568.62999999999,0955,42.2830017,-83.6659583
Radrick Farms Golf Clubhouse - 0963,24534.13,10725.0,134307.79,0963,42.2786544,-83.65282719999999
Radrick Farms Recreation Complex - 0953,2315.01,2587.0,11761.53,0953,42.2898304,-83.6654909
Randall Lab (aka Homer Neal Laboratory) - 0208,805303.38,216607.0,7002638.0,0208,42.2761682,-83.7365075
"Research Museums Center (aka RMC, Varsity Drive Building) - 0812",274139.19,153375.0,2459114.0,0812,42.2362026,-83.7287806
Revelli Hall (aka Marching Band Building) - 0813,25355.55,15620.0,220483.0,0813,42.2692477,-83.74470199999999
"Rogel Cancer Center (aka CC, Cancer Geriatrics Center, CGC) - 0301",1081690.71,278072.0,12417096.0,0301,42.2827172,-83.7267932
